Linux 2.6.32-042stab072.10 (lax-sup-pro-ctr1.inmotionhosting.com) 	02/12/2014 	_x86_64_	(32 CPU)

12:00:01 AM   runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15
12:01:01 AM         1       107      0.37      0.71      0.67
12:02:01 AM         0       104      0.39      0.64      0.65
12:03:01 AM         2       103      0.55      0.64      0.64
12:04:01 AM         1       106      1.15      0.82      0.70
12:05:01 AM         2       106      0.60      0.73      0.68
12:06:01 AM         0       103      0.78      0.74      0.68
12:07:01 AM         0       103      0.49      0.69      0.67
12:08:01 AM         2       105      0.62      0.68      0.67
12:09:01 AM         0       103      0.54      0.64      0.65
12:10:01 AM         0       103      1.23      0.80      0.70
12:11:01 AM         1       104      0.64      0.71      0.67
12:12:01 AM         8       105      3.57      1.50      0.94
12:13:01 AM         0       103      4.92      2.29      1.25
12:14:01 AM         0       113      5.08      2.73      1.46
12:15:01 AM         7       111      6.09      3.50      1.81
12:16:01 AM         6       113      6.73      4.15      2.13
12:17:01 AM         5       109      6.13      4.47      2.37
12:18:01 AM         6       115      6.10      4.83      2.63
12:19:01 AM         5       113      7.36      5.40      2.95
12:20:01 AM         5       112      5.69      5.33      3.08
12:21:01 AM         0       114      5.82      5.44      3.26
12:22:01 AM         6       116      6.74      5.71      3.49
12:23:01 AM         5       114      7.21      6.02      3.73
12:24:01 AM         4       115      5.65      5.77      3.79
12:25:01 AM         0       130      7.53      6.19      4.05
12:26:01 AM         5       116      6.76      6.23      4.20
12:27:02 AM         0       120      7.97      6.73      4.50
12:28:01 AM         3       115      8.12      7.01      4.73
12:29:01 AM         5       113      7.48      7.06      4.89
12:30:01 AM         6       113      6.98      6.89      4.96
12:31:01 AM         5       112      4.86      6.30      4.88
12:32:01 AM         0       116      5.39      6.16      4.91
12:33:01 AM         3       114      4.97      5.93      4.91
12:34:01 AM         0       111      5.34      5.85      4.95
12:35:01 AM         5       119      5.36      5.74      4.96
12:36:01 AM         5       131      9.29      6.62      5.30
12:37:01 AM         8       117      7.42      6.51      5.34
12:38:01 AM         0       123      5.90      6.22      5.31
12:39:01 AM        39       152      5.99      6.20      5.36
12:40:01 AM         1       106      5.80      6.24      5.43
12:41:01 AM        10       118      7.59      6.62      5.61
12:42:01 AM         9       117      7.06      6.65      5.68
12:43:01 AM         6       111      5.96      6.42      5.66
12:44:01 AM         4       110      7.07      6.61      5.77
12:45:01 AM         2       125      5.87      6.25      5.69
12:46:01 AM         1       107      4.91      6.10      5.68
12:47:01 AM         1       108      2.72      5.27      5.42
12:48:01 AM         0       105      1.55      4.46      5.13
12:49:01 AM         1       105      0.93      3.75      4.85
12:50:01 AM         0       103      0.77      3.19      4.58
12:51:01 AM         0       107      0.65      2.70      4.32
12:52:01 AM         1       104      1.27      2.48      4.14
12:53:01 AM         0       104      0.95      2.15      3.92
12:54:01 AM         0       105      0.81      1.90      3.72
12:55:01 AM         0       104      0.72      1.67      3.53
12:56:01 AM         0       107      0.52      1.44      3.33
12:57:01 AM         0       105      0.76      1.37      3.18
12:58:01 AM         0       104      1.07      1.31      3.05
12:59:01 AM         0       104      1.00      1.23      2.91
01:00:01 AM         2       109      0.74      1.10      2.76
01:01:01 AM         3       165      9.69      3.51      3.47
01:02:01 AM         3        90      5.66      3.66      3.54
01:03:01 AM         1        95      3.02      3.28      3.41
01:04:01 AM         2       100      1.39      2.77      3.23
01:05:01 AM         1        97      0.79      2.34      3.05
01:06:01 AM         0        95      0.96      2.10      2.92
01:07:01 AM         0        95      0.71      1.83      2.77
01:08:01 AM         0        95      0.59      1.59      2.63
01:09:01 AM         0        96      0.36      1.35      2.48
01:10:01 AM         1       100      0.59      1.21      2.36
01:11:01 AM         0        98      0.96      1.24      2.30
01:12:01 AM         0        98      0.59      1.07      2.17
01:13:01 AM         0        98      1.02      1.14      2.13
01:14:01 AM         0        98      0.74      1.02      2.02
01:15:01 AM         1        99      0.44      0.89      1.91
01:16:01 AM         1        98      0.57      0.83      1.83
01:17:02 AM         1        98      0.62      0.80      1.75
01:18:01 AM         2        98      0.51      0.73      1.67
01:19:01 AM         0        98      0.54      0.71      1.60
01:20:01 AM         0        98      0.67      0.70      1.54
01:21:01 AM         0        98      0.35      0.62      1.45
01:22:01 AM         1        98      0.58      0.62      1.40
01:23:01 AM         1        98      0.61      0.63      1.35
01:24:01 AM         1        99      1.25      0.81      1.37
01:25:01 AM         0        99      1.08      0.87      1.35
01:26:01 AM         0        99      1.06      0.90      1.34
01:27:01 AM         1       100      0.68      0.81      1.28
01:28:01 AM         0        99      0.50      0.73      1.21
01:29:01 AM         0       101      0.93      0.84      1.22
01:30:01 AM         1       100      0.79      0.82      1.19
01:31:01 AM         3       102      0.75      0.78      1.15
01:32:02 AM         2       100      1.52      1.00      1.20
01:33:01 AM         0       100      1.93      1.21      1.26
01:34:01 AM         2       107      2.19      1.46      1.34
